,userid,post,ques,ans,asker,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3,decision
562,lauraaatxd,Q: you have big feet <3<br>A: haha nah naht really it depends but im usuallly a size 6 1/2 or 7,you have big feet <, haha nah naht really it depends but im usuallly a size 6 1/2 or 7,None,Yes,1,you have big feet,No,0,,No,0,, haha nah naht really it depends but im usuallly a size 6 1/2 or 7
563,lauraaatxd,Q: You look gay.<br>A: your face looks gay.,You look gay., your face looks gay.,None,Yes,5,you look gay,Yes,1,"""Q: You look gay.
A: your face looks gay.""",Yes,1,you look gay, your face looks gay.
564,lauraaatxd,Q: you should fade jhocelyn..<br>A: HAH... nah fool were str8,you should fade jhocelyn.., HAH... nah fool were str8,None,Yes,1,fade,No,0,,No,0,, HAH... nah fool were str8
565,lauraaatxd,Q: You&apos;re A Porch Monkey<br>A: and your a niglett:p,You&apos;re A Porch Monkey, and your a niglett:p,None,Yes,8,"""porch monkey
niglett""",No,0,,Yes,5,"""Porch Monkey
niglett""", and your a niglett:p
566,lauraaatxd,Q: you&apos;re not cool  suck my dick<br>A: srry your too hardcore for me,you&apos;re not cool  suck my dick, srry your too hardcore for me,None,Yes,5,suck my dick,Yes,8,suck my dick,Yes,2,you&apos;re not cool suck my dick, srry your too hardcore for me
567,lauraaatxd,Q: your amazing and GORGEOUS. i wanna be like you.<3<br>A: haha honey bunn r puleaseee i would do anything to look as good as you<3,your amazing and GORGEOUS. i wanna be like you.<, haha honey bunn r puleaseee i would do anything to look as good as you<3,Tswizzl3,Yes,2,<3,No,0,,No,0,, haha honey bunn r puleaseee i would do anything to look as good as you<3
568,lauraaatxd,Q: your boyfriend is only ugly ass mexican  like I&apos;ll give you props for going out with a junior  but he just flat out ugly so try going for guys your grade or something cause all you have now is a pothead and by the looks of it your heading in the same road<br>A: yo stfu!r thats your opinion thats he's ugly not mine.r and hes not a pothead so get your shit straight:),your boyfriend is only ugly ass mexican  like I&apos;ll give you props for going out with a junior  but he just flat out ugly so try going for guys your grade or something cause all you have now is a pothead and by the looks of it your heading in the same road, yo stfu!r thats your opinion thats he's ugly not mine.r and hes not a pothead so get your shit straight:),None,Yes,6,"""your boyfriend is only ugly ass mexican, but he just flat out ugly""",Yes,9,your boyfriend is only ugly ass mexican like I'll give you props for going out with a junior but he just flat out ugly so try going for guys your grade or something cause all you have now is a pothead and by the looks of it your heading in the same road,No,0,, yo stfu!r thats your opinion thats he's ugly not mine.r and hes not a pothead so get your shit straight:)
569,lauraaatxd,Q: your in 7th grade. stop trying to grow up so fast  its not cute. you&apos;ll grow up at your own pace.<br>A: stfu you obviously dont know me i dnt try to grow up to fast just becuz i chill with older ppl,your in th grade. stop trying to grow up so fast  its not cute. you&apos;ll grow up at your own pace., stfu you obviously dont know me i dnt try to grow up to fast just becuz i chill with older ppl,None,Yes,5,"""stfu, stop trying, you'll grow up, you don't know me""",No,0,,Yes,7,stfu [shut the fuck up], stfu you obviously dont know me i dnt try to grow up to fast just becuz i chill with older ppl
570,lauraaatxd,Q: Your only in middle school  why would going out with 10th &amp;11th high school guys seem like a good idea to you?  or anyone in your grade and age group actually.  it just doesn&apos;t make sense how that would even work anyways..<br>A: im sorry   i cant  please everybodyr :),Your only in middle school  why would going out with th &amp;th high school guys seem like a good idea to you?  or anyone in your grade and age group actually.  it just doesn&apos;t make sense how that would even work anyways.., im sorry   i cant  please everybodyr :),None,Yes,1,Your only in middle school why would going out with 10th &11th high school guys seem like a good idea to you?,No,0,,Yes,6,im sorry i cant please everybodyr :), im sorry   i cant  please everybodyr :)
571,lauraaatxd,Q: your so annoying<br>A: ya tu sabes,your so annoying, ya tu sabes,None,Yes,5,your so annoying,No,0,,No,0,, ya tu sabes
572,lauraaatxd,Q: YOURR SUCHH A SLUUTTT<br>A: ya tu sabes(;,YOURR SUCHH A SLUUTTT, ya tu sabes(;,None,Yes,3,calls the person a slut. REason i didn't rate it higher was responder played along.,Yes,2,YOURR SUCHH A SLUUTTT,Yes,5,YOURR SUCHH A SLUUTTT, ya tu sabes(;
573,zooshay,Q: ... i c aussies are starting to get smarter now adayz lmao..<br>A: lmao woooow u hater thats ok cause i have nothing but love to throw around lol,... i c aussies are starting to get smarter now adayz lmao.., lmao woooow u hater thats ok cause i have nothing but love to throw around lol,Zoowill,Yes,1,aussies are starting to get smarter now adayz,No,0,,Yes,2,aussies are starting to get smarter now adayz lmao.., lmao woooow u hater thats ok cause i have nothing but love to throw around lol
574,zooshay,Q: as of this moment...eclipse is showing<br>A: :O i wana see :( i may go tonight ill see,as of this moment...eclipse is showing, :O i wana see :( i may go tonight ill see,Trebla1,Yes,0,,No,0,,No,0,, :O i wana see :( i may go tonight ill see
575,zooshay,Q: bastard is term of endearment<br>A: yeh i know that lmao,bastard is term of endearment, yeh i know that lmao,Trebla1,Yes,2,bastard,No,0,,Yes,1,"""The word """"bastard"""" in the way in which it was used may suggest bullying in prior conversations.""", yeh i know that lmao
576,zooshay,Q: Crappers .. I was bout to get offline  but remembered I hadn&apos;t friggin spammed you today lol .. So  I&apos;m dedicating half an hour  maybe an hour lmbo  to just asking you ish XD .. Sound good XD ?? .. Aiights ;) ..<br>A: lol sounds great lol,Crappers .. I was bout to get offline  but remembered I hadn&apos;t friggin spammed you today lol .. So  I&apos;m dedicating half an hour  maybe an hour lmbo  to just asking you ish XD .. Sound good XD ?? .. Aiights ;) .., lol sounds great lol,None,Yes,3,but remembered I hadn't friggin spammed you today,No,0,,No,0,, lol sounds great lol
577,zooshay,Q: damn homie... u know me too well =P<br>A: LMAO! that hard red alert all ova it but its cool sorry i didnt mean to lol,damn homie... u know me too well =P, LMAO! that hard red alert all ova it but its cool sorry i didnt mean to lol,GeeEmmAyySee,Yes,4,LMAO! that hard red alert all ova it but its cool sorry i didnt mean to lol,No,0,,No,0,, LMAO! that hard red alert all ova it but its cool sorry i didnt mean to lol
578,zooshay,Q: Did you know I can talk more siht that anyone alive?<br>A: lol NO COMMENT!!,Did you know I can talk more siht that anyone alive?, lol NO COMMENT!!,gabeparham,Yes,1,I can talk more siht,No,0,,No,0,, lol NO COMMENT!!
579,zooshay,Q: dingo&apos;s breakfast<br>A: dingo ate my baby =/,dingo&apos;s breakfast, dingo ate my baby =/,Trebla1,Yes,8,dingo's breakfast,No,0,,No,0,, dingo ate my baby =/
580,zooshay,Q: DU U eVA hAd eRotic thoughTs abouT me? DEScIBE ThEm<br>A: yes i have and seen as this is a g rated site i will not maybe in a week :),DU U eVA hAd eRotic thoughTs abouT me? DEScIBE ThEm, yes i have and seen as this is a g rated site i will not maybe in a week :),None,Yes,5,erotic thoughts and describe them,No,0,,No,0,April Kontostathis, yes i have and seen as this is a g rated site i will not maybe in a week :)
581,zooshay,Q: Ever jump off a ramp in a car? I have<br>A: omg no im not wanting to die soon holy,Ever jump off a ramp in a car? I have, omg no im not wanting to die soon holy,Trebla1,Yes,0,,No,0,,No,0,, omg no im not wanting to die soon holy
582,zooshay,Q: fav breakkie<br>A: i dont eat brekkie =((,fav breakkie, i dont eat brekkie =((,Trebla1,Yes,6,fav breakkie,No,0,,No,0,, i dont eat brekkie =((
583,zooshay,Q: for petes sake  comes from the bible for saint peter  one of jesus&apos; apostle...its like cursing saying  for jesus christ! or god damn!<br>A: your,for petes sake  comes from the bible for saint peter  one of jesus&apos; apostle...its like cursing saying  for jesus christ! or god damn!, your,Trebla1,Yes,8,for petes sake comes from the bible for saint peter one of jesus' apostle...its like cursing saying for jesus christ! or god damn!,No,0,,No,0,, your
584,zooshay,Q: Has anyone ever told you that you are more full of siht than a Christmas turkey?<br>A: yes you just then :) thank you gabe,Has anyone ever told you that you are more full of siht than a Christmas turkey?, yes you just then :) thank you gabe,gabeparham,Yes,1,Has anyone ever told you that you are more full of siht than a Christmas turkey?,Yes,1,you are more full of siht than a Christmas turkey?,No,0,, yes you just then :) thank you gabe
585,zooshay,Q: Have you ever heard of a rug-muncher? I was just wonder.lol<br>A: can you tell me what it is i herd one thing it might be but not sure and ill post on yours lol,Have you ever heard of a rug-muncher? I was just wonder.lol, can you tell me what it is i herd one thing it might be but not sure and ill post on yours lol,gabeparham,Yes,2,rug-muncher,No,0,Na,Yes,1,Have you ever heard of a rug-muncher?, can you tell me what it is i herd one thing it might be but not sure and ill post on yours lol
586,zooshay,Q: hey baby how u been havent see u for a long time =]<br>A: wat up long time have i even seen you before,hey baby how u been havent see u for a long time =], wat up long time have i even seen you before,None,Yes,6,It appears like person A is being stalked by Q,No,0,,No,0,, wat up long time have i even seen you before
587,zooshay,Q: hey sugar tits! wanna meet at night? i&apos;ll be racing my evo..metallic blue with white stripe on top...i got tinted front windows too. look for me!<br>A: wash ur mouth out with soap and approach me properly,hey sugar tits! wanna meet at night? i&apos;ll be racing my evo..metallic blue with white stripe on top...i got tinted front windows too. look for me!, wash ur mouth out with soap and approach me properly,None,Yes,5,sugar tits!,Yes,1,Hey sugar tits,Yes,4,hey sugar tits! wanna meet at night?, wash ur mouth out with soap and approach me properly
588,zooshay,Q: hey u fucking jerk  i fucking love you u2665<br>A: u2665 :),hey u fucking jerk  i fucking love you u, u2665 :),GeeEmmAyySee,Yes,3,u fucking jerk,No,0,,No,0,, u2665 :)
589,zooshay,Q: How big of a flirt are you?<br>A: not a flirt at all lmao shut up,How big of a flirt are you?, not a flirt at all lmao shut up,Trebla1,Yes,1,shut up,No,0,,No,0,, not a flirt at all lmao shut up
590,zooshay,Q: how big r ur boobs<br>A: PERV!! lol,how big r ur boobs, PERV!! lol,None,Yes,1,"""perv, boobs""",No,0,kinda stuck up,No,0,, PERV!! lol
591,zooshay,Q: How hard is it to get voted as your best stalker? **takes out pen and paper**<br>A: well applenut as you like to call yourself your at the top of the list so far so ur algud :D:D,How hard is it to get voted as your best stalker? **takes out pen and paper**, well applenut as you like to call yourself your at the top of the list so far so ur algud :D:D,applenut,Yes,2,How hard is it to get voted as your best stalker?,No,0,,No,0,, well applenut as you like to call yourself your at the top of the list so far so ur algud :D:D
592,zooshay,Q: How many people have you slept with?<br>A: omg babe u dork no comment,How many people have you slept with?, omg babe u dork no comment,Zoowill,Yes,4,how any people have you slept with,Yes,2,asks about sexual partners,No,0,, omg babe u dork no comment
593,zooshay,Q: how often do you go out?<br>A: not as often as i should maybe ask your self these uestions :P,how often do you go out?, not as often as i should maybe ask your self these uestions :P,GeeEmmAyySee,Yes,5,maybe ask yourself these questions,No,0,,No,0,no, not as often as i should maybe ask your self these uestions :P
594,zooshay,Q: I bring my itouch as back up<br>A: lmao u dork,I bring my itouch as back up, lmao u dork,Trebla1,Yes,1,dork,No,0,,No,0,, lmao u dork
595,zooshay,Q: i didnt workout again today..im just gonna redo the whole weekr<br>A: omg you better not be moody for real cause ill like slap you through the screen lol,i didnt workout again today..im just gonna redo the whole weekr, omg you better not be moody for real cause ill like slap you through the screen lol,Trebla1,Yes,1,"""""""slap you through the screen""""""",Yes,6,ill like slap you through the screen,No,1,ill like slap you through the screen, omg you better not be moody for real cause ill like slap you through the screen lol
596,zooshay,Q: i hope bunz is ok<br>A: i know im going to see her wtf thats right,i hope bunz is ok, i know im going to see her wtf thats right,Trebla1,Yes,2,wtf thats right,No,0,,No,0,, i know im going to see her wtf thats right
597,zooshay,Q: I know  I don&apos;t know what the heck I just didded either lol .. I&apos;m just here to spam the blipp out of your inbox  like I&apos;ll do with Sir Spectacular soon :) .. SoOo  Chu doing *winks*  .. Yeah  I just said that as if I was Joey from Friends lol ..<br>A: lmao hes hott lmao yeh i know wat u gone say &quot; girly you think err one hot&quot; lol well not really just a few ppl and u know who yes mikes one o_0 lmao anyway homo lover se u in a bit,I know  I don&apos;t know what the heck I just didded either lol .. I&apos;m just here to spam the blipp out of your inbox  like I&apos;ll do with Sir Spectacular soon :) .. SoOo  Chu doing *winks*  .. Yeah  I just said that as if I was Joey from Friends lol .., lmao hes hott lmao yeh i know wat u gone say &quot; girly you think err one hot&quot; lol well not really just a few ppl and u know who yes mikes one o_0 lmao anyway homo lover se u in a bit,None,Yes,1,"""spam the blipp, homo lover""",No,0,,No,0,, lmao hes hott lmao yeh i know wat u gone say &quot; girly you think err one hot&quot; lol well not really just a few ppl and u know who yes mikes one o_0 lmao anyway homo lover se u in a bit
598,zooshay,Q: i know exactly where u are...google map...satellite it<br>A: i know u do like u knew the memorial park u clown lol,i know exactly where u are...google map...satellite it, i know u do like u knew the memorial park u clown lol,Trebla1,Yes,2,u clown,No,0,,No,0,, i know u do like u knew the memorial park u clown lol
599,zooshay,Q: i reckon i can beat u in swiming....<br>A: i rekon u cant,i reckon i can beat u in swiming...., i rekon u cant,Trebla1,Yes,1,i reckon you can't,No,0,,No,0,, i rekon u cant
600,zooshay,Q: i talked to her this mornin at about 730am<br>A: wait boo boo tell me whats going on with her please,i talked to her this mornin at about am, wait boo boo tell me whats going on with her please,Trebla1,Yes,4,boo hoo,No,0,,No,0,, wait boo boo tell me whats going on with her please
601,zooshay,Q: i wish they all can be australian girls...<br>A: wish who wea what fill me in,i wish they all can be australian girls..., wish who wea what fill me in,Trebla1,Yes,1,all can be australian girls...,Yes,2,wish they could all be australian girls,No,0,, wish who wea what fill me in
602,zooshay,Q: I&apos;m going to poke your eyeballs out .. Do you want to know why ?? .. Too bad  I&apos;m not telling you :P ..<br>A: LMAO u need anger management classes my lady :D i tell u that err night u go to pick up a shoe throw rocks and pots and pans LMAO *hides* u violent lol,I&apos;m going to poke your eyeballs out .. Do you want to know why ?? .. Too bad  I&apos;m not telling you :P .., LMAO u need anger management classes my lady :D i tell u that err night u go to pick up a shoe throw rocks and pots and pans LMAO *hides* u violent lol,None,Yes,6,I'm going to poke your eyeballs out,No,0,,Yes,6,poke your eyeballs out, LMAO u need anger management classes my lady :D i tell u that err night u go to pick up a shoe throw rocks and pots and pans LMAO *hides* u violent lol
603,zooshay,Q: I&apos;ve got a whopping great penis  can I put it inside of you?<br>A: wheres my bodyguards when i need them lol,I&apos;ve got a whopping great penis  can I put it inside of you?, wheres my bodyguards when i need them lol,None,Yes,7,I've got a whopping great penis can I put it inside of you?,,8,I've got a whopping great penis can I put it inside of you?,No,0,, wheres my bodyguards when i need them lol
604,zooshay,Q: If barbie is so popular why do you have to buy all of her friends?(A taste of your own medicine! >:P)<br>A: hmm let me go ask barbie ill be right back lol,If barbie is so popular why do you have to buy all of her friends?(A taste of your own medicine! >:P), hmm let me go ask barbie ill be right back lol,Gellex,Yes,1,why do you have to buy all of her friends,No,0,,No,0,, hmm let me go ask barbie ill be right back lol
605,zooshay,Q: If I stopped talking to you would you care?<br>A: yes i would care why wouldnt i??,If I stopped talking to you would you care?, yes i would care why wouldnt i??,DidUMissMe,Yes,1,If I stopped talking to you would you care?,No,0,,No,0,, yes i would care why wouldnt i??
606,zooshay,Q: If looks could give you aids would you make everybody blind?<br>A: probably lol,If looks could give you aids would you make everybody blind?, probably lol,ElleJayAmora,Yes,7,looks could give you aids,No,0,,No,0,, probably lol
607,zooshay,Q: Is your little sister retarted or what?<br>A: lmao i dont know u talk to her and u know she is lmao,Is your little sister retarted or what?, lmao i dont know u talk to her and u know she is lmao,Zoowill,Yes,1,Is your little sister retarted or what?,No,0,,Yes,5,retarted, lmao i dont know u talk to her and u know she is lmao
608,zooshay,Q: length or with? lolr<br>A: lmfao both is great maybe width lol,length or with? lolr, lmfao both is great maybe width lol,DidUMissMe,Yes,4,length or with? lolr,No,0,,No,0,N/A., lmfao both is great maybe width lol
609,zooshay,Q: lmao somones all distracted lmao cant write right now?? its ok i undastand ur obbsessed.<br>A: lmfao wat who not me ahaha shup u cu doing spaming my contacts go find your own lmao,lmao somones all distracted lmao cant write right now?? its ok i undastand ur obbsessed., lmfao wat who not me ahaha shup u cu doing spaming my contacts go find your own lmao,Zoowill,Yes,7,lmao somones all distracted lmao cant write right now?? its ok i undastand ur obbsessed.,No,0,,No,0,, lmfao wat who not me ahaha shup u cu doing spaming my contacts go find your own lmao
610,zooshay,Q: lmao uhh ok but mess up and ull wake up one day with a patch lmafo..<br>A: wow u touch my hair ull die for sure lmao and oud have to get me soooper tired or drunk to be able to touch my hair to begin with lol,lmao uhh ok but mess up and ull wake up one day with a patch lmafo.., wow u touch my hair ull die for sure lmao and oud have to get me soooper tired or drunk to be able to touch my hair to begin with lol,Zoowill,Yes,1,U touch my hair ull die,Yes,1,touch my hair ull die,No,0,, wow u touch my hair ull die for sure lmao and oud have to get me soooper tired or drunk to be able to touch my hair to begin with lol
611,zooshay,Q: LMFAO YOU CHANGE YOUR NUMBER AGAIN? SOME JUNGLE LMFAO VOICEMAIL GOES WITH UR NAME WTF IS UP WITH YOUR NAME?<br>A: LMFAO wat u mean again u doosh no i lost my fone cant find it no where if i dont find it tomorrow ima buy another one stfu my babys name chill we gota be the same to roll the same you know how we do =P,LMFAO YOU CHANGE YOUR NUMBER AGAIN? SOME JUNGLE LMFAO VOICEMAIL GOES WITH UR NAME WTF IS UP WITH YOUR NAME?, LMFAO wat u mean again u doosh no i lost my fone cant find it no where if i dont find it tomorrow ima buy another one stfu my babys name chill we gota be the same to roll the same you know how we do =P,BeRoknYourShit,Yes,1,"""you doosh, stfu""",No,0,,No,0,, LMFAO wat u mean again u doosh no i lost my fone cant find it no where if i dont find it tomorrow ima buy another one stfu my babys name chill we gota be the same to roll the same you know how we do =P
612,zooshay,Q: look at my fs<br>A: i just saw,look at my fs, i just saw,bunz19,Yes,9,look at my fs,No,0,,No,0,, i just saw
613,zooshay,Q: NO! you&apos;re the fool lol<br>A: nah ahh she asked i answerd holy,NO! you&apos;re the fool lol, nah ahh she asked i answerd holy,GeeEmmAyySee,Yes,2,you&apos;re the fool lol,Yes,1,you're the fool,No,0,, nah ahh she asked i answerd holy
614,zooshay,Q: no..yoru pik is the best...<br>A: thank you =),no..yoru pik is the best..., thank you =),Trebla1,Yes,0,,No,0,,No,0,, thank you =)
615,zooshay,Q: Oh of course it works on everyone elses end lol<br>A: awww thats right your fs biggest spammer lol,Oh of course it works on everyone elses end lol, awww thats right your fs biggest spammer lol,Trebla1,Yes,3,your fs biggest spammer,No,0,,No,0,, awww thats right your fs biggest spammer lol
616,zooshay,Q: OH THANK YOU PPL - YES I ALWAYS DID THINK MY COUSIN WAS A WHORE.. NO OFFENSE TO HER.. but thank you for clarifying that. she is easier than a game of XandO&apos;s... and yes 479 - as of lastnight is the number.<br>A: aww ahh i didnt get that question what one was that,OH THANK YOU PPL - YES I ALWAYS DID THINK MY COUSIN WAS A WHORE.. NO OFFENSE TO HER.. but thank you for clarifying that. she is easier than a game of XandO&apos;s... and yes  - as of lastnight is the number., aww ahh i didnt get that question what one was that,blondprincess,Yes,5,"""""""MY COUSIN WAS A WHORE""""""",No,0,,Yes,3,whore, aww ahh i didnt get that question what one was that
617,zooshay,Q: ok this comes with a warning label first... my cousin has slept with 479 men - does this make her a whore/slut? is this number alot? would she have been better to get them to pay since she basically gives it away to anyone she meets in a bar?? ur opinion?<br>A: wow didnt know there were 479 men in the world lol ok kidn sorry.... lolr r ok real answer im not one to judge people for real..but she could be going through some deeper stuff than what you see and sleeping with these men is all she may no i dont think shes either maybe shes a lost soul wanting to found or understood but doesnt know how to express her self..r r there's always reason behind what people do and say,ok this comes with a warning label first... my cousin has slept with  men - does this make her a whore/slut? is this number alot? would she have been better to get them to pay since she basically gives it away to anyone she meets in a bar?? ur opinion?, wow didnt know there were 479 men in the world lol ok kidn sorry.... lolr r ok real answer im not one to judge people for real..but she could be going through some deeper stuff than what you see and sleeping with these men is all she may no i dont think shes either maybe shes a lost soul wanting to found or understood but doesnt know how to express her self..r r there's always reason behind what people do and say,blondprincess,Yes,6,Slept with 479 men whore,No,0,N/A.,No,0,, wow didnt know there were 479 men in the world lol ok kidn sorry.... lolr r ok real answer im not one to judge people for real..but she could be going through some deeper stuff than what you see and sleeping with these men is all she may no i dont think shes either maybe shes a lost soul wanting to found or understood but doesnt know how to express her self..r r there's always reason behind what people do and say
618,zooshay,Q: Ouch! O_o You just got buttfucked!<br>A: *slappppppppped* and you just been pimped slapped,Ouch! O_o You just got buttfucked!, *slappppppppped* and you just been pimped slapped,ButtFucked,Yes,4,"""you just got buttfucked, you just been pimp slapped""",No,0,,Yes,6,"""Q: Ouch! O_o You just got buttfucked!
A: *slappppppppped* and you just been pimped slapped""", *slappppppppped* and you just been pimped slapped
619,zooshay,Q: pardon me  i had the notion that you might be of asian?<br>A: yes yes yes yes yes to wateva u have to say yes,pardon me  i had the notion that you might be of asian?, yes yes yes yes yes to wateva u have to say yes,None,Yes,3,that you might be of asian;  ...wateva u have to say...,No,0,,No,0,, yes yes yes yes yes to wateva u have to say yes
620,zooshay,Q: pink wow if its pink  then ull jus owe me big time again ma=p<br>A: lmao why u get to pull the shots?? nah ahh we share k,pink wow if its pink  then ull jus owe me big time again ma=p, lmao why u get to pull the shots?? nah ahh we share k,Zoowill,Yes,0,,No,0,,No,0,, lmao why u get to pull the shots?? nah ahh we share k
621,zooshay,Q: r Have you ever broken one?r r<br>A: yeah i dont mean to,r Have you ever broken one?r r, yeah i dont mean to,Zoowill,Yes,5,r Have you ever broken one?r r,No,0,,No,0,, yeah i dont mean to
622,zooshay,Q: Sick .. Is that why you been M.I.A ?? .. Gayness flu or summin ?? .. And awww .. Glad you&apos;re online too .. How long you on for ?? ..<br>A: im here till my parents get home sike i cant stay out of the house that long lol m.i.a is bout right n my phone pissn me off,Sick .. Is that why you been M.I.A ?? .. Gayness flu or summin ?? .. And awww .. Glad you&apos;re online too .. How long you on for ?? .., im here till my parents get home sike i cant stay out of the house that long lol m.i.a is bout right n my phone pissn me off,None,Yes,2,Gayness flu or summin,No,0,,No,0,, im here till my parents get home sike i cant stay out of the house that long lol m.i.a is bout right n my phone pissn me off
623,zooshay,Q: since your an aussie do you rope walabies in your free time<br>A: well im NOT aussie i just live here and no i dont lol,since your an aussie do you rope walabies in your free time, well im NOT aussie i just live here and no i dont lol,Scottyknowy,Yes,5,since your an aussie do you rope walabies in your free time,No,0,,Yes,1,since your an aussie do you rope walabies in your free time, well im NOT aussie i just live here and no i dont lol
624,zooshay,Q: so you and mr. big forehead are dating now  huh?<br>A: yes whats it to you,so you and mr. big forehead are dating now  huh?, yes whats it to you,None,Yes,4,so you and mr. big forehead are dating now huh?,No,3,"""""""so you and mr. big forehead are dating now huh""""?""",Yes,2,mr. big forehead, yes whats it to you
625,zooshay,Q: spamm me! :)<br>A: sure thing =),spamm me! :), sure thing =),taylorxoxo37,Yes,5,spamm me!,No,0,,No,0,, sure thing =)
626,zooshay,Q: suki suki five dolla for da eggrow<br>A: hi 5,suki suki five dolla for da eggrow, hi 5,None,Yes,0,suki suki five dolla for da eggrow. Racist comment,No,0,,No,0,, hi 5
627,zooshay,Q: there sweet and delicioso!..i had to climd the tree though..i was drunk again too!!!!!!!<br>A: lmao omg drink driving and txtn you dork ima slap you  lol,there sweet and delicioso!..i had to climd the tree though..i was drunk again too!!!!!!!, lmao omg drink driving and txtn you dork ima slap you  lol,Trebla1,Yes,1,dork,No,0,,Yes,1,dork ima slap you, lmao omg drink driving and txtn you dork ima slap you  lol
628,zooshay,Q: There was this girl who I was kind of &apos;friends&apos; with  who didn&apos;t like Emily so was spreading some rumours about her .. Said she was really a man lmbo .. Anyway  Emily heard that it was this girl  and barged into our class one day .. CONTINUE ..<br>A: lol she is a man sings like one to :P,There was this girl who I was kind of &apos;friends&apos; with  who didn&apos;t like Emily so was spreading some rumours about her .. Said she was really a man lmbo .. Anyway  Emily heard that it was this girl  and barged into our class one day .. CONTINUE .., lol she is a man sings like one to :P,None,Yes,5,There was this girl who I was kind of 'friends' with who didn't like Emily so was spreading some rumours about her,Yes,6,"""spreading some rumours about her
Said she was really a man
 lol she is a man sings like one to""",Yes,3,she is a man sings like one to, lol she is a man sings like one to :P
629,zooshay,Q: to the anon.....<br>A: Ta mere est le chien et mange ma merde!,to the anon....., Ta mere est le chien et mange ma merde!,ZooShay,Yes,6,Your mother is the dog and eat my shit!,No,0,,No,0,, Ta mere est le chien et mange ma merde!
630,zooshay,Q: watching bleach....and going to bed....=) night!<br>A: ok im answering questions and be out =),watching bleach....and going to bed....=) night!, ok im answering questions and be out =),Trebla1,Yes,2,watch bleaching,No,0,,No,0,, ok im answering questions and be out =)
631,zooshay,Q: wears the weirdest/most interesting place a person has actually LICKED you????????<br>A: ears,wears the weirdest/most interesting place a person has actually LICKED you????????, ears,blondprincess,Yes,3,LICKED,No,0,no,No,0,, ears
632,zooshay,Q: well bootyful ppl shay will be m.i.a for abit try not miss to muj especially u clarissa lol feel free to spam me still.....love u guys talk soon be good and play nicely :)<br>A: shay has now left the building....,well bootyful ppl shay will be m.i.a for abit try not miss to muj especially u clarissa lol feel free to spam me still.....love u guys talk soon be good and play nicely :), shay has now left the building....,ZooShay,Yes,3,feel free to spam me,No,0,,No,0,, shay has now left the building....
633,zooshay,Q: WELL SINCE YOU DONT WANNA ANSWER YOUR PHONE ILL DROP YOUR CAR OFF THURSDAY SWEET.<br>A: hello doosh i want my car back today or tomorrow im at work tomorrow so i need it tonight plzz im NOT catchn the bus!!!,WELL SINCE YOU DONT WANNA ANSWER YOUR PHONE ILL DROP YOUR CAR OFF THURSDAY SWEET., hello doosh i want my car back today or tomorrow im at work tomorrow so i need it tonight plzz im NOT catchn the bus!!!,BeRoknYourShit,Yes,2,doosh (douche?),No,0,,No,0,N/A., hello doosh i want my car back today or tomorrow im at work tomorrow so i need it tonight plzz im NOT catchn the bus!!!
634,zooshay,Q: were you ever the people who i would get kicked out of the movie theater?? lol  i bet<br>A: lol no comment im a respectable person in the movies thank u no noise no pop corn thrown no laughing NOTHING!!!! lol,were you ever the people who i would get kicked out of the movie theater?? lol  i bet, lol no comment im a respectable person in the movies thank u no noise no pop corn thrown no laughing NOTHING!!!! lol,Trebla1,Yes,5,were you ever the people who i would get kicked out of the movie theater?? lol i bet,No,0,,No,0,, lol no comment im a respectable person in the movies thank u no noise no pop corn thrown no laughing NOTHING!!!! lol
635,zooshay,Q: What is it like to sleepwalk? Do you know what you&apos;re doing?<br>A: apparenty you dont know what you doing but i dont know i dont do it thats scary lol,What is it like to sleepwalk? Do you know what you&apos;re doing?, apparenty you dont know what you doing but i dont know i dont do it thats scary lol,TyJDD,Yes,0,,No,0,,No,0,, apparenty you dont know what you doing but i dont know i dont do it thats scary lol
636,zooshay,Q: what u doin...?<br>A: im back on fs :),what u doin...?, im back on fs :),bunz19,Yes,1,what u doin...?,No,0,,No,0,, im back on fs :)
637,zooshay,Q: whats one thing you strongly about a male and about  a female<br>A: dis like?? ok im just going to go with dis like maybe shadyness trying to be a player....Chikies maybe their bitchy cattyness,whats one thing you strongly about a male and about  a female, dis like?? ok im just going to go with dis like maybe shadyness trying to be a player....Chikies maybe their bitchy cattyness,endless21,Yes,3,.Chikies maybe their bitchy cattyness,No,0,,Yes,1,"""Refers to males in general describing their """"Shadyness"""" and """"trying to be a player,""""  and females in general and their """"bitchy cattyness.""""  Unlikely to bully someone directly, which is why it is rated very mild.""", dis like?? ok im just going to go with dis like maybe shadyness trying to be a player....Chikies maybe their bitchy cattyness
638,zooshay,Q: When is the last time you had a full body massage?<br>A: i havent yet =O,When is the last time you had a full body massage?, i havent yet =O,gabeparham,Yes,3,When is the last time you had a full body massage?,No,0,,No,0,, i havent yet =O
639,zooshay,Q: where did u come up with the name moo for him?<br>A: yeh a spazz of a moment lol,where did u come up with the name moo for him?, yeh a spazz of a moment lol,EnnAyyEnnYou,Yes,1,where did u come up with the name moo for,No,0,,Yes,5,the name moo for him, yeh a spazz of a moment lol
